,0
num__Amount_sum,0.00010644055873110932
num__Amount_mean,0.0
num__Amount_max,0.0
num__Amount_std,-2.385091722653179e-17
num__Amount_skew,0.00011900738765188845
num__Value_sum,0.0024400502195896035
num__Value_mean,0.0
num__Value_max,0.0
num__Value_std,-1.0354355256388672e-18
num__Value_skew,0.00018153526218719427
num__TransactionStartTime_count,0.0028979876723097407
num__TransactionStartTime_<lambda_0>,0.001797285362986964
num__Recent30_Amount_sum,0.0013950687893614642
num__Recent30_Amount_mean,0.0
num__Recent30_Value_sum,0.007766454053830746
num__Recent30_Value_mean,0.0002751719290614028
num__Recent30_TransactionStartTime_count,0.001931723091100653
num__Hour_mean,9.667511601495238e-05
num__Hour_std,0.0
num__Weekday_mean,6.456740336474587e-05
num__Weekday_std,0.0
num__Day_mean,0.04719583314406719
num__Day__first_mode_or_nan,0.00016411966118256657
num__Month_mean,0.08270185841478818
num__Month__first_mode_or_nan,0.0
num__Year_mean,0.7917026736569507
num__Year__first_mode_or_nan,0.0
num__IsWeekend_mean,0.0
num__IsBusinessHours_mean,2.3149019791803824e-05
num__Hour_sin_mean,2.0154204247203146e-05
num__Hour_cos_mean,5.218957461535533e-05
num__Month_sin_mean,0.0012248501473432966
num__Month_cos_mean,0.03138730026649671
num__TimeSinceLast_mean,0.0
num__TimeSinceLast_min,0.00014677674804241904
num__TimeSinceLast_max,0.0
num__Velocity_1d_mean,0.0
num__Velocity_7d_mean,0.00015012954346126488
num__Velocity_30d_mean,6.857387390658492e-05
num__ChannelId_ChannelId_1,0.0
num__ChannelId_ChannelId_2,0.0
num__ChannelId_ChannelId_3,0.0
num__ChannelId_ChannelId_5,0.0
num__ProviderId_ProviderId_1,0.0
num__ProviderId_ProviderId_2,0.0
num__ProviderId_ProviderId_3,0.0
num__ProviderId_ProviderId_4,0.0
num__ProviderId_ProviderId_5,0.0
num__ProviderId_ProviderId_6,0.0
num__ProductCategory_freq,0.0
num__Amount_sum_log_std,0.0
num__Amount_mean_log_std,7.180027367568789e-20
num__Amount_max_log_std,0.0
num__Amount_skew_log_std,0.0
num__Value_mean_log_std,0.0
num__Value_skew_log_std,6.2608552328957635e-06
num__Recent30_Amount_sum_log_std,0.00037570998401037536
num__Recent30_Amount_mean_log_std,2.9734099651976948e-08
num__Recent30_TransactionStartTime_count_log_std,0.0025932209873085325
num__ProductCategory_woe,0.0
num__ChannelId_woe,0.0
num__ProviderId_woe,0.0
cat__CustomerId_CustomerId_1,0.0
cat__CustomerId_CustomerId_1001,0.0
cat__CustomerId_CustomerId_1002,0.0
cat__CustomerId_CustomerId_1004,0.0
cat__CustomerId_CustomerId_1005,0.0
cat__CustomerId_CustomerId_1006,0.0
cat__CustomerId_CustomerId_1007,0.0
cat__CustomerId_CustomerId_1008,0.0
cat__CustomerId_CustomerId_1012,0.0
cat__CustomerId_CustomerId_1014,0.0
cat__CustomerId_CustomerId_1016,0.0
cat__CustomerId_CustomerId_1020,0.0
cat__CustomerId_CustomerId_1021,0.0
cat__CustomerId_CustomerId_1025,0.0
cat__CustomerId_CustomerId_1028,0.0
cat__CustomerId_CustomerId_1030,0.0
cat__CustomerId_CustomerId_1031,0.0
cat__CustomerId_CustomerId_1033,0.0
cat__CustomerId_CustomerId_1034,0.0
cat__CustomerId_CustomerId_1036,0.0
cat__CustomerId_CustomerId_1038,0.0
cat__CustomerId_CustomerId_1039,0.0
cat__CustomerId_CustomerId_1044,0.0
cat__CustomerId_CustomerId_1048,0.0
cat__CustomerId_CustomerId_1050,0.0
cat__CustomerId_CustomerId_1052,0.0
cat__CustomerId_CustomerId_1053,0.0
cat__CustomerId_CustomerId_1054,0.0
cat__CustomerId_CustomerId_1055,0.0
cat__CustomerId_CustomerId_1058,0.0
cat__CustomerId_CustomerId_1064,0.0
cat__CustomerId_CustomerId_1068,0.0
cat__CustomerId_CustomerId_1071,0.0
cat__CustomerId_CustomerId_1073,0.0
cat__CustomerId_CustomerId_1074,0.0
cat__CustomerId_CustomerId_1078,0.0
cat__CustomerId_CustomerId_1079,0.0
cat__CustomerId_CustomerId_1080,0.0
cat__CustomerId_CustomerId_1084,0.0
cat__CustomerId_CustomerId_1085,0.0
cat__CustomerId_CustomerId_1086,0.0
cat__CustomerId_CustomerId_1087,0.0
cat__CustomerId_CustomerId_1089,0.0
cat__CustomerId_CustomerId_1091,0.0
cat__CustomerId_CustomerId_1092,0.0
cat__CustomerId_CustomerId_1094,0.0
cat__CustomerId_CustomerId_11,0.0
cat__CustomerId_CustomerId_1101,0.0
cat__CustomerId_CustomerId_1102,0.0
cat__CustomerId_CustomerId_1103,0.0
cat__CustomerId_CustomerId_1104,0.0
cat__CustomerId_CustomerId_1105,0.0
cat__CustomerId_CustomerId_1106,0.0
cat__CustomerId_CustomerId_1108,0.0
cat__CustomerId_CustomerId_1109,0.0
cat__CustomerId_CustomerId_1112,0.0
cat__CustomerId_CustomerId_1113,0.0
cat__CustomerId_CustomerId_1114,0.0
cat__CustomerId_CustomerId_1116,0.0
cat__CustomerId_CustomerId_1117,0.0
cat__CustomerId_CustomerId_1118,0.0
cat__CustomerId_CustomerId_1119,0.0
cat__CustomerId_CustomerId_1121,0.0
