,0
num__Amount_sum,0.012868202566534334
num__Amount_mean,0.0070876043719879265
num__Amount_max,0.00560031646250186
num__Amount_std,0.006312629614160812
num__Amount_skew,0.006439119043623072
num__Value_sum,0.012594791054656513
num__Value_mean,0.00624331344653366
num__Value_max,0.004790063855026124
num__Value_std,0.007147262876652207
num__Value_skew,0.0062012259961549375
num__TransactionStartTime_count,0.011889671949146774
num__TransactionStartTime_<lambda_0>,0.017726990253751438
num__Recent30_Amount_sum,0.036439522488485095
num__Recent30_Amount_mean,0.026377207654744002
num__Recent30_Value_sum,0.026397242008114635
num__Recent30_Value_mean,0.027118034641524392
num__Recent30_TransactionStartTime_count,0.029999659021494145
num__Hour_mean,0.005581680089427889
num__Hour_std,0.009260328458159465
num__Weekday_mean,0.0055837072752748015
num__Weekday_std,0.005862161006429933
num__Day_mean,0.0193396435844471
num__Day__first_mode_or_nan,0.015549944456082236
num__Month_mean,0.0858104753633255
num__Month__first_mode_or_nan,0.04520339362644749
num__Year_mean,0.11452861700556048
num__Year__first_mode_or_nan,0.04824622314449522
num__IsWeekend_mean,0.004075886918783285
num__IsBusinessHours_mean,0.005712879698459018
num__Hour_sin_mean,0.006402234439515667
num__Hour_cos_mean,0.005908447007787596
num__Month_sin_mean,0.08248326346034714
num__Month_cos_mean,0.035957296970535964
num__TimeSinceLast_mean,0.009779398696919527
num__TimeSinceLast_min,0.005133199992797742
num__TimeSinceLast_max,0.01331958531466534
num__Velocity_1d_mean,0.006680964275931939
num__Velocity_7d_mean,0.009284247179559741
num__Velocity_30d_mean,0.008249262530132416
num__ChannelId_ChannelId_1,0.0001673797046734974
num__ChannelId_ChannelId_2,0.0016126614317350985
num__ChannelId_ChannelId_3,0.0015221608268560804
num__ChannelId_ChannelId_5,0.00013288170181401888
num__ProviderId_ProviderId_1,0.0013666292114855802
num__ProviderId_ProviderId_2,8.407037373377884e-06
num__ProviderId_ProviderId_3,0.0008375223321192163
num__ProviderId_ProviderId_4,0.001284228849032576
num__ProviderId_ProviderId_5,0.0013778480763243883
num__ProviderId_ProviderId_6,0.0039048536157630423
num__ProductCategory_freq,0.001877737548910238
num__Amount_sum_log_std,0.013102581914263618
num__Amount_mean_log_std,0.006496696268335378
num__Amount_max_log_std,0.006958254140485521
num__Amount_skew_log_std,0.0069003694959439196
num__Value_mean_log_std,0.007375982198575152
num__Value_skew_log_std,0.00637863523090604
num__Recent30_Amount_sum_log_std,0.038595425313846174
num__Recent30_Amount_mean_log_std,0.03171153823716778
num__Recent30_TransactionStartTime_count_log_std,0.03041991343222685
num__ProductCategory_woe,0.001966860568949861
num__ChannelId_woe,0.0025076073167799467
num__ProviderId_woe,0.0033578639616309294
cat__CustomerId_CustomerId_1,2.4911453406263363e-06
cat__CustomerId_CustomerId_1001,0.0
cat__CustomerId_CustomerId_1002,5.337845518977881e-06
cat__CustomerId_CustomerId_1004,4.982029009781345e-07
cat__CustomerId_CustomerId_1005,4.170634170427609e-06
